,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050,2055,2055,2060,2060,2065,2065,2070,2070,2075,2075,2080,2080,2085,2085,2090,2090,2095,2095,2100,2100
,,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,min,max,min,max,min,max,min
SE,lignite,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
SE,oil,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
DE,nuclear,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
DE,hydro,,4919.42,,4779.97,,4719.97,,4649.49,,4311.77,,4236.77,,3765.45,,3362.82,,2859.76,,2416.25,,1566.19,,694.51,,423.00,,258.92,,165.00,,0.00
DE,coal,,14193.88,,7579.58,,3842.89,,2318.93,,2318.93,,2318.93,,2318.93,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
DE,natural gas,,16786.81,,16649.46,,15956.89,,13281.44,,11977.98,,8893.09,,5201.74,,2344.50,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
DE,lignite,,7885.87,,6103.09,,5063.33,,968.87,,968.87,,959.36,,917.86,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
DE,oil,,296.96,,284.36,,233.99,,197.01,,160.11,,137.31,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,nuclear,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,hydro,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,coal,,6299.89,,485.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,natural gas,,6560.65,,6364.29,,5419.86,,4309.78,,3923.00,,2006.76,,251.00,,107.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,lignite,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
NL,oil,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
AT,nuclear,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
AT,hydro,,10035.53,,9903.53,,9867.03,,9842.03,,9842.03,,9513.03,,9222.03,,7124.53,,6153.53,,5256.53,,4607.53,,3148.53,,1426.28,,772.40,,233.70,,0.00
AT,coal,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
AT,natural gas,,2743.30,,2743.30,,2331.30,,2301.30,,1822.30,,538.10,,42.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
AT,lignite,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
AT,oil,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
CH,nuclear,,2970.00,,2970.00,,2970.00,,2970.00,,2970.00,,2970.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
CH,hydro,,11109.05,,11096.89,,11050.03,,11047.99,,10952.84,,10766.41,,10603.96,,9398.91,,8234.84,,7706.00,,7033.09,,5279.56,,5030.26,,4600.45,,3836.94,,0.00
CH,coal,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
CH,natural gas,,55.00,,55.00,,55.00,,55.00,,55.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
CH,lignite,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
CH,oil,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
